product_id,brand_name,pants_description,price,mrp,discount_percent,ratings,number_of_ratings
685,Roadster,Men Pure Cotton Cargo Jeans,779,2599,0.7,4.3,86
686,Roadster,Men Cotton Regular Fit Jeans,753,2599,0.71,3.8,25
687,FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
688,HERE&NOW,Men Mid Rise Baggy Fit Jeans,927,2899,0.68,3.8,29
689,Roadster,Relaxed Fit Stretchable  Jeans,519,1299,0.6,4.2,15
690,French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
691,Mast & Harbour,Men Bootcut Jeans,899,2999,0.7,4.2,24
692,Mast & Harbour,Printed Baggy Fit Jeans,805,2599,0.69,4.2,19
693,Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
694,Roadster,Men Straight Fit Jeans,594,1699,0.65,3.8,22
695,StyleCast x Revolte,Men Wide Leg Jeans,1304,2899,0.55,3.8,131
696,Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.8,131
697,Powerlook,Men Baggy Fit Jeans,1297,2199,0.41,4.2,777
698,Cantabil,Men Clean Look Jeans,1259,3599,0.65,4.2,10
699,Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
700,WROGN,Men Pure Cotton Cargo Jeans,1039,2599,0.6,3.9,42
701,WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
702,Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
703,Roadster,Men Cotton Loose Fit Jeans,883,2599,0.66,3,9
704,Roadster,Light Fade Stretchable Jeans,699,2799,0.75,4,26
705,WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
706,Roadster,Men Straight Mid-Rise Jeans,628,1699,0.63,3.8,25
707,glitchez,Men Loose Bootcut Fit Jeans,571,2199,0.74,3.9,78
708,Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
709,glitchez,Men Light Jogger Jeans,681,2199,0.69,4.6,21
710,Thomas Scott,Men Tapered Fit Jeans,979,3499,25.2,3.5,81
711,Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,3.5,81
712,Kook N Keech,Men Straight Pure Cotton Jeans,929,2999,0.69,4.4,24
713,glitchez,Men Loose Fit Cargo Jeans,1151,2399,0.52,2.3,42
714,Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
715,Roadster,Men Straight Fit Jeans,645,1699,0.62,3.2,5
716,Aeropostale,Men Straight Fit Jeans,1259,3499,0.64,4.7,11
717,Calvin Klein Jeans,Men Slim Fit Jeans,1259,3499,0.64,4.7,11
718,Roadster,Men Straight Fit Jeans,675,2599,0.74,4.2,26
719,glitchez,Men Regular Fit Jeans,543,1699,0.68,4.1,76
720,WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130
721,SF JEANS by Pantaloons,Men Straight Fit Jeans,1049,1399,0.25,3.8,6
722,MASTERLY WEFT,Men Jeans,959,1999,0.52,2.1,15
723,Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,2.1,15
724,Roadster,Men Straight Fit Jeans,626,1899,0.67,4,64
725,Roadster,Men Slim Fit Jeans,539,1499,0.64,3.9,1600
726,Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31
727,Roadster,Men Cotton Straight Fit Jeans,674,2499,0.73,3.3,493
728,Mast & Harbour,Men Loose Tapered Fit Jeans,942,2299,0.59,3.3,493
729,Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.3,493
730,Roadster,Men Straight Fit Jeans,594,1699,0.65,3.3,493
731,Stylecast X Kotty,Men Regular Fit Cargo Jeans,719,1999,0.64,3.9,78
732,WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
733,glitchez,Men Baggy Loose Fit Jeans,703,2199,0.68,4.2,66
734,Dennis Lingo,Men Relaxed Fit Jeans,1350,3599,22.49,3.8,866
735,Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
736,Roadster,Men Loose Crop Cotton Jeans,779,2599,0.7,3.4,18
737,FCUK,Pure Cotton Tapered Fit Jeans,1199,2999,0.6,4,80
738,FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
739,Mast & Harbour,Men Straight Fit Jeans,836,2699,0.69,3.7,29
740,Hardsoda by The Indian Garage Co,Men Plus Size Jogger,1238,2949,0.58,3.7,29
741,French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
742,glitchez,Men Loose Fit Jeans,619,1999,0.69,4.2,26
743,Roadster,Straight Fit Light Fade Jeans,753,2599,0.71,3.8,19
744,Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
745,Playfeel,Men Mid-Rise Baggy Jeans,699,2499,0.72,2.3,34
